Nama,VGA,Processor,Penyimpanan,Ukuran Layar,RAM,Keyboard,Tipe Layar,Harga,0,1,2,3
MSI GE67HX RAIDER 12UGS INTEL I9 12900HX 32GB 1TB SSD RTX3070TI-8GB 15.6 QHD OLED 240HZ PKRGB WIN11HOME GREY,NVIDIA RTX3070TI,Intel Core i9,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,43499000,,,,
MSI GE66 RAIDER 12UGS INTEL I9 12900H 16GB 1TB SSD RTX3070TI-8GB 15.6 QHD 240HZ PKRGB WIN11HOME GREY,NVIDIA RTX3070TI,Intel Core i9,1TB,16 Inch,8GB,Standart Keyboard,Non Touchscreen,39999000,,,,
MSI CYBORG 15 A12VF INTEL I7 12650H 16GB 512GB RTX4060-8GB 15.6 FHD 144HZ BL WIN11HOME,NVIDIA RTX4060,Intel Core i7,512GB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,18699000,,,,
MSI CYBORG 15 A12VF INTEL I5 12450H 16GB 512GB RTX4060-8GB 15.6 FHD 144HZ BL WIN11HOME,NVIDIA RTX4060,Intel Core i5,512GB,16 Inch,8GB,Backlit Keyboard,Non Touchscreen,16699000,,,,
MSI CYBORG 15 A12VE INTEL I7 12650H 16GB 512GB RTX4050-6GB 15.6 FHD 144HZ BL WIN11HOME,NVIDIA RTX4050,Intel Core i7,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,16699000,,,,
MSI CYBORG 15 A12VE INTEL I5 12450H 16GB 512GB RTX4050-6GB 15.6 FHD 144HZ BL WIN11HOME,NVIDIA RTX4050,Intel Core i5,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,15099000,,,,
MSI CROSSHAIR 15 R6E B12UEZ INTEL I9 12900H 16GB 1TB SSD RTX3060-6GB 15.6 QHD IPS 165HZ RGB WIN11HOME BLACK,NVIDIA RTX3060,Intel Core i9,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,27999000,,,,
MSI CROSSHAIR 15 R6E B12UEZ INTEL I7 12700H 16GB 1TB SSD RTX3060-6GB 15.6 QHD IPS 165HZ RGB WIN11HOME BLACK,NVIDIA RTX3060,Intel Core i7,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,23999000,,,,
MSI CREATOR Z17HX STUDIO A13VGT INTEL I9 13950HX 32GB DDR5 2TB SSD RTX4070-8GB 16.0 QHD+ IPS TOUCH 165HZ 100SRGB PKRGB WIN11HOME GREY,NVIDIA RTX4070,Intel Core i9,2TB,16 Inch,8GB,Standart Keyboard,Touchscreen,52999000,,,,
MSI CREATOR Z16HX STUDIO B13VFTO INTEL I7 13700HX 32GB DDR5 2TB SSD RTX4060-8GB 16.0 QHD+ IPS TOUCH 120HZ 100SRGB PKRGB WIN11HOME GREY,NVIDIA RTX4060,Intel Core i7,2TB,16 Inch,8GB,Standart Keyboard,Touchscreen,44499000,,,,
MSI CREATOR M16 A12UD INTEL I7 12700H 16GB 1TB SSD RTX3050TI-4GB 15.6 QHD+ IPS WIN11HOME BLACK,NVIDIA RTX3050TI,Intel Core i7,1TB,16 Inch,16GB,Standart Keyboard,Non Touchscreen,22999000,,,,
MSI BRAVO 15 C7VE RYZEN 5 7535HS 16GB 512GB RTX4050-6GB 15.6″ FHD IPS 144HZ BL WIN11HOME BLACK,NVIDIA RTX4050,AMD Ryzen 5,512GB,16 Inch,16GB,Backlit Keyboard,Non Touchscreen,15999000,,,,
MICROSOFT SURFACE BOOK 3 15 2IN1 i7 32GB 1TB SSD GTX1660TI TOUCH WIN10HOME PLATINUM,NVIDIA GTX1660TI,Intel Core i7,1TB,13 Inch,32GB,Standart Keyboard,Touchscreen,35999000,,,,
MICROSOFT SURFACE BOOK 3 15 2IN1 i7 16GB 512GB GTX1660TI TOUCH WIN10HOME PLATINUM,NVIDIA GTX1660TI,Intel Core i7,512GB,13 Inch,16GB,Standart Keyboard,Touchscreen,35999000,,,,
MICROSOFT SURFACE BOOK 3 13 2IN1 i7 32GB 1TB SSD GTX1650 TOUCH WIN10HOME PLATINUM,NVIDIA GTX1650,Intel Core i7,1TB,13 Inch,32GB,Standart Keyboard,Touchscreen,42499000,,,,
MICROSOFT SURFACE BOOK 3 13 2IN1 i7 16GB 512GB GTX1650 TOUCH WIN10HOME PLATINUM,NVIDIA GTX1650,Intel Core i7,512GB,13 Inch,16GB,Standart Keyboard,Touchscreen,37999000,,,,
MICROSOFT SURFACE BOOK 3 13 2IN1 i7 16GB 256GB GTX1650 TOUCH WIN10HOME PLATINUM,NVIDIA GTX1650,Intel Core i7,256GB,13 Inch,16GB,Standart Keyboard,Touchscreen,33499000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I7 12700H 16GB 1TB SSD RTX2050-4GB 14″ 2.8K GLASS IPS 100SRGB 90HZ WIN11HOME + OHS GREY,NVIDIA RTX2050,Intel Core i7,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,19499000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I7 11370H 16GB 1TB SSD MX450-2GB 14″ 2.8K GLASS IPS 100SRGB WIN11HOME + OHS SILVER,NVIDIA MX450,Intel Core i7,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,16999000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I7 11370H 16GB 1TB SSD MX450-2GB 14″ 2.8K GLASS IPS 100SRGB WIN11HOME + OHS GREY,NVIDIA MX450,Intel Core i7,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,16999000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I7 11370H 16GB 1TB SSD MX450-2GB 14″ 2.2K IPS WIN10HOME + OHS SILVER,NVIDIA MX450,Intel Core i7,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,16499000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I7 11370H 16GB 1TB SSD MX450-2GB 14″ 2.2K IPS WIN10HOME + OHS GREY,NVIDIA MX450,Intel Core i7,1TB,14 Inch,16GB,Standart Keyboard,Non Touchscreen,16499000,,,,
LENOVO YOGA SLIM 7I PRO 14 INTEL I5 11300H 16GB 512GB MX450-2GB 2.8K GLASS IPS 100SRGB BL WIN11HOME + OHS SILVER,NVIDIA MX450,Intel Core i5,512GB,14 Inch,16GB,Backlit Keyboard,Non Touchscreen,13999000,,,,
LENOVO YOGA SLIM 7 PRO 14 INTEL I7 12700H 16GB 1TB SSD RTX2050-4GB 14.0 2.8K 100SRGB 90HZ BL WIN11HOME + OHS GREY,NVIDIA RTX2050,Intel Core i7,1TB,14 Inch,16GB,Backlit Keyboard,Non Touchscreen,20499000,,,,
LENOVO YOGA SLIM 7 14 CARBON AMD RYZEN 7 5800H 16GB 1TB SSD MX450-2GB 14″ 2.8K OLED TOUCH 90HZ BL WIN11HOME + OHS CLOUD GREY,NVIDIA MX450,AMD Ryzen 7,1TB,14 Inch,16GB,Backlit Keyboard,Touchscreen,16999000,,,,
LENOVO YOGA PRO 9 14 INTEL I9 13905H 32GB 1TB SSD RTX4060-8GB 14.5 3K TOUCH 165HZ MINILED 100DCIP3 WIN11HOME + OHS GREY,NVIDIA RTX4060,Intel Core i9,1TB,14 Inch,8GB,Standart Keyboard,Touchscreen,32499000,,,,
LENOVO YOGA PRO 9 14 INTEL I7 13705H 32GB 1TB SSD RTX4050-6GB 14.5 3K TOUCH 165HZ MINILED 100DCIP3 WIN11HOME + OHS GREY,NVIDIA RTX4050,Intel Core i7,1TB,14 Inch,32GB,Standart Keyboard,Touchscreen,28399000,,,,
